"","bmr_dem","bmr_demdur","gol_enep","gol_est","gpi_gpi","ht_region","nelda_mbbe","nelda_mtop","nelda_oa","nelda_rpae","top_top10_income_share","top_top1_income_share","vdem_corr","vdem_libdem","vdem_mecorrpt","wdi_acel","wdi_acelr","wdi_acelu","wdi_afp","wdi_agedr","wdi_araland","wdi_area","wdi_birth","wdi_bribfirm","wdi_broadb","wdi_busden","wdi_co2","wdi_death","wdi_debt","wdi_emp","wdi_empagr","wdi_empagrf","wdi_empagrm","wdi_empind","wdi_empindf","wdi_empindm","wdi_empser","wdi_empserf","wdi_empserm","wdi_expedu","wdi_expedut","wdi_expmil","wdi_fdiin","wdi_fdiout","wdi_fertility","wdi_firftopm","wdi_firgifttax","wdi_forest","wdi_gdpagr","wdi_gdpcapcon2015","wdi_gdpind","wdi_gini","wdi_homicides","wdi_infpay","wdi_internet","wdi_lfpf","wdi_lifexp","wdi_lifexpf","wdi_lifexpm","wdi_litrad","wdi_litradf","wdi_litradm","wdi_litry","wdi_migration","wdi_nerp","wdi_ners","wdi_pop","wdi_pop14","wdi_pop1564","wdi_pop65","wdi_popden","wdi_poprul","wdi_popurb","wdi_refasy","wdi_refori","wdi_semp","wdi_smokf","wdi_smokm","wdi_taxrev","wdi_tele","wdi_trade","wdi_unempfilo","wdi_unempilo","wdi_unempmilo","wdi_unempyfilo","wdi_unempyilo","wdi_unempymilo","wdi_wip","fhp_score5","fhp_status5","gd_ptsa","wdi_gdpcappppcon2017"
"80","Non-democracy",89,NA,NA,3.283,"North Africa & Middle East (incl. Israel, Turkey, Cyprus)","Unclear","Yes","Yes","No",0.4527,0.1569,0.84,0.218,2.031,100,100,100,4.45326516506575,71.0300293029273,11.4459329967199,434128,27.367,50.5,14.8275,0.0957421986706803,4.13311862710525,4.753,27.438248367378,4.45445546035823,8.61905371223789,14.5350440533782,7.81659941806214,26.5405363519572,11.780317371287,28.5426358181525,64.8404099358049,73.6846385753348,63.6407647637854,NA,NA,2.30492820761499,-1.25770209772783,0.0641893991408507,3.496,1.6,51.2,1.90036118379833,3.27919752953038,4138.07727128907,54.6088877710074,NA,NA,51,65.0022,13.9444195570705,70.378,72.422,68.2,NA,76.2786636352539,NA,NA,-60097,NA,NA,43533592,38.1209120290268,58.4692637071016,3.40982426387163,100.278240518925,28.881,71.119,280072,343899,31.4317985863097,1.8,35.1,1.34459361810327,5.9,61.5032683117218,28.2,16.173,14.224,62.153,35.617,31.689,28.8753799392097,71,"Not Free",5,10299.31640625
"81","Democracy",99,5.59976257006703,"Proportional",1.303,"Western Europe & North America (incl. Australia & New Zealand)","No","Yes","Yes","No",0.4111,0.1536,0.032,0.834,3.774,100,100,100,0.370030186240304,53.2384846538165,6.32893017854551,68890,12,0.4,31.3616,7.69729376888207,7.18613579847587,6.8,64.3358627118306,3.70500624093378,4.48503862631987,1.30844664015133,7.2461814702187,18.7709998987957,9.29460498132863,27.0081076266551,76.7439614748844,89.3970390602471,65.7457109031262,3.00598001480103,NA,0.251475874908046,17.8869865733027,29.4247203159438,1.78,15.1,1.5,11.4097837131659,0.991635583719796,90589.1967310069,38.4656451748975,30.1,0.441188915890542,0,94.456,46.4779977739109,82.3536585365854,84.3,80.5,NA,NA,NA,NA,15320,NA,NA,5033164,19.9131720159486,65.2577666295132,14.8290613545382,73.0608796632312,36.088,63.912,9571,5,14.0628478898897,19,22.5,17.1720318490757,25.7,227.404790299365,6.146,6.194,6.235,14.522,14.474,14.428,22.5,18,"Free",1,86681.2734375
"82","Democracy",73,5.34028510286884,"Proportional",2.643,"North Africa & Middle East (incl. Israel, Turkey, Cyprus)","No","Yes","Yes","Yes",0.4918,0.1684,0.11,0.657,3.431,100,100,100,4.24486174986079,66.9448665442231,17.4214417744917,21640,19.7,NA,29.7079,3.05840839688577,6.35090808203684,5.4,NA,3.08055912681462,0.795734766150727,0.435635398835086,1.12588546641197,15.9516507175419,7.43721701197197,23.7579592486469,83.2526145163073,92.1271475891929,75.1161552849411,6.18401002883911,NA,4.97605222586197,3.87899084703941,2.12254586520885,3,NA,NA,6.46950092421442,1.26100864987675,40772.9704864616,17.1721204881357,37.9,1.94380733880528,NA,90.2969,47.7883727924902,82.5,84.6,80.5,NA,NA,NA,NA,16856,NA,NA,9371400,28.1698188742344,59.9000130223856,11.93016810338,433.059149722736,7.32599999999999,92.674,1191,453,11.4285336130594,13.5,28.9,24.6153959630754,39.1,55.1949222878766,4.732,4.812,4.886,7.878,7.654,7.44,28.3333333333333,33,"Partly Free",3,40810.0546875
"83","Democracy",75,3.34328517888247,"Mixed",1.685,"Western Europe & North America (incl. Australia & New Zealand)","No","Yes","Yes","No",0.3818,0.1274,0.15,0.775,3.602,100,100,100,1.34520204835269,57.0653072954821,24.3232955832773,295717,6.8,11.8,31.2853,3.01120149525101,5.42436814611656,11.9,164.249748591415,5.87948949365103,4.05017290974677,2.47468838529574,5.196213073368,26.6394616898415,13.3991347266772,36.2707505052939,69.3103654004117,84.1261768880271,58.5330364213381,4.21828985214233,NA,1.72006283098808,1.15562898844264,2.54594982748484,1.25,15.3,4.2,32.5308994748357,1.90061158067913,31980.6412402973,23.1961729032425,34.8,0.511475885697091,8.4,74.8623,42.6400997574505,82.6463414634146,84.9,80.5,99,99,99,100,28021,NA,NA,59133173,12.651839655956,63.6677831104906,23.6803772335534,199.965416259464,28.654,71.346,144862,61,21.8318148820071,19.5,26.6,25.0485390639159,33.5,62.0679468955691,10.626,9.497,8.658,32.863,29.69,27.674,35.7142857142857,31,"Partly Free",2,42739.05078125
"84","Democracy",59,2.01196718079135,"Majoritarian",2.108,"Caribbean (incl. Belize, Guyana, Suriname)","No","Yes","Yes","No",0.5299,0.1892,0.17,0.695,3.736,100,100,100,0.412785053878769,37.9989458632453,11.0803324099723,10830,11.712,NA,14.5718,2.11364179847443,2.15507683820214,8.797,106.282373001667,4.17088358494279,15.7378904163504,9.42428572544059,20.9044031667529,17.0947541536645,5.79571630474673,26.3409179494061,67.1673554299851,84.779841801557,52.754678883841,5.63123989105225,19.59513,1.46676867767402,2.18644459267792,0.383111655556371,1.352,NA,NA,55.4730655586334,8.34080242727078,4976.35970942781,20.9347128044777,40.2,52.1272718817397,NA,82.3607,45.54600089171,70.5,72.543,68.469,NA,90.8148727416992,NA,93.5699996948242,-5664,81.0188,73.96802,2827695,20.2996115740226,72.4643344604589,7.23605396551855,261.098337950139,43.348,56.652,31,2419,38.4126816788957,3.8,15,25.7094656957291,16.7,90.1106076335994,6.333,5.188,4.23,20.152,17.158,14.798,28.5714285714286,19,"Free",3,10244.3662109375
"85","Democracy",69,3.44755068761398,"Mixed",1.462,"East Asia (incl. Japan & Mongolia)","No","Yes","Yes","No",0.2659,0.0601,0.062,0.729,3.856,100,100,100,0.378818776290531,71.1187680312857,11.2098765432099,364500,6.6,NA,35.9392,0.507508850430164,8.55863594917992,11.7,216.329364856741,1.72479129222651,3.16976617016114,2.66398109348212,3.57897481815035,23.7122832939006,13.6666750114904,31.8397982778334,73.1179535496929,83.6693405256504,64.5812350821188,3.33563995361328,NA,1.01829737669403,0.695725961783807,4.164997692301,1.3,NA,NA,68.4087791495199,1.01328081764637,35701.4542716142,29.2628608719163,NA,0.228708941914955,NA,82.9141,44.5952443043531,84.4456097560976,87.57,81.47,NA,NA,NA,NA,87584,NA,NA,125681593,11.7739664230637,58.4389436662632,29.7870899106731,344.80546776406,8.133,91.867,1508,39,9.85578190157843,10,30.1,13.3082711121133,48.9,36.7714832870467,2.551,2.828,3.051,4.158,4.629,5.095,9.67741935483871,27,"Free",1,41697.41015625
"86","Non-democracy",75,NA,NA,1.983,"North Africa & Middle East (incl. Israel, Turkey, Cyprus)","Yes","Yes","Yes","Yes",0.5122,0.2038,0.502,0.248,1.337,99.9,98.8,100,3.96895727964931,57.0664613451191,2.24339482397459,88794,21.95,2.5,6.45877,0.401384009051802,2.06181618362944,3.868,75.9660726859906,3.19033273103268,3.27981903499069,0.623258542308256,3.77874980490885,18.412622893379,7.47231319895933,20.4673312856838,78.3075151319451,91.9044282587324,75.7539189094073,3.13837003707886,22.74788,4.81123191507576,1.34316062049226,0.0343776104452153,2.83,3.1,0.6,1.09804716534901,4.78675277704391,3845.8569750687,23.4204240200794,NA,1.02257949714653,3.5,86,17.1717467246353,74.256,76.773,72.128,95,92,97,99,14374,80.8644,62.59678,11148278,32.6090779494859,63.6673199065954,3.72360214391865,125.552154424849,8.374,91.626,3047612,2981,11.6634919926075,12.8,56.8,15.9811020446786,3.69,80.48924243797,26.188,19.837,18.52,53.969,43.749,41.533,11.5384615384615,68,"Not Free",2,9551.1650390625
"87","Non-democracy",30,NA,NA,2.004,"Eastern Europe & post-Soviet (incl. Central Asia)","Yes","Yes","Yes","Yes",0.412,0.1488,0.837,0.125,1.253,100,100,100,0.773142047101556,59.9547457570188,10.9899988887654,2699700,23.5,11.6,13.9468,3.49261479478441,12.2566795175911,9.61,22.4120405815457,1.18658318834679,13.2383574329482,11.6959422648578,14.724301952951,21.5001527468133,12.0925638557778,30.5633125550639,65.2614898202385,76.2114938793644,54.7123854919851,4.38569402694702,9.38161,0.819281683646492,2.31675874599247,1.35210964376389,3.32,26,11.9,1.29048383153684,5.03000193996331,11186.2822816204,35.2669295966944,29.2,3.19296191107306,7.9,90.924,49.3833398867773,70.23,74.03,66.33,99.8000030517578,99.8000030517578,99.9000015258789,99.9000015258789,-18917,86.85584,99.83989,19191356,29.5326058851824,62.5176832683079,7.94971084650974,7.10869948512798,42.179,57.821,352,3198,25.754745482596,6.7,39.6,9.44711136309549,15.1,58.6686085779207,6.154,5.556,4.973,5.083,4.188,3.459,27.1028037383178,85,"Not Free",3,26351.8046875
"88","Democracy",19,4.3375,"Majoritarian",2.273,"Sub-Saharan Africa",NA,NA,NA,NA,0.4953,0.159,0.521,0.426,2.929,76.5,68.2,97.5,0.103374242972113,70.1806883484294,10.1908142109147,569140,27.685,23.9,1.48254,1.62008563918651,0.394882700538098,8.056,NA,1.55354780288756,33.2623832708891,35.3824805642891,31.2406559353688,15.5605123226331,10.558793837764,20.3301367942227,51.177108812493,54.0587165715161,48.4292072704086,4.89040184020996,NA,1.07091960171957,0.422364158406335,0.373726223358655,3.335,18.1,20.9,6.34481849808483,21.4770750957252,1705.7403896308,17.1524357767952,38.7,5.27491295544657,26.3,38.2459,49.776642607104,61.427,64.09,58.935,82.879997253418,80.2699966430664,85.5800018310547,95.7298889160156,-52549,NA,NA,53005614,38.3951556527578,58.7610738741749,2.84377047306725,93.1328214499069,71.507,28.493,481048,7529,61.9087105337782,2.7,19.5,13.2546715485857,0.115,30.6892819236191,7.522,5.693,3.881,16.16,12.08,7.946,21.6138328530259,58,"Partly Free",3,4601.21142578125
"89","Democracy",24,2.259468,"Majoritarian",NA,"Pacific (excl. Australia & New Zealand)","No","Unclear","Unclear","No",0.4859,0.1609,NA,NA,NA,92.8,94.3,88.3,NA,66.4277596983315,2.46913580246914,810,27.207,NA,0.0864641,0.0270467638547048,0.561013082545742,6.236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1951599121094,NA,NA,0.356621411313479,0.0350553614481063,3.304,NA,NA,1.45679012345679,NA,1904.76588311518,NA,27.8,NA,NA,54.0494,NA,67.417,69.096,65.504,97.9597091674805,98.6115112304688,97.2537002563477,97.1587600708008,-296,NA,NA,128874,36.1709887176622,60.0862082343995,3.7428030479383,159.103703703704,43.665,56.335,NA,NA,NA,27.3,53.9,21.5449264,0,73.5010885714286,NA,NA,NA,NA,NA,NA,6.66666666666667,30,"Free",2.3740119047619,1990.51794433594
