"","bmr_dem","bmr_demdur","gol_enep","gol_est","gpi_gpi","ht_region","nelda_mbbe","nelda_mtop","nelda_oa","nelda_rpae","top_top10_income_share","top_top1_income_share","vdem_corr","vdem_libdem","vdem_mecorrpt","wdi_acel","wdi_acelr","wdi_acelu","wdi_afp","wdi_agedr","wdi_araland","wdi_area","wdi_birth","wdi_bribfirm","wdi_broadb","wdi_busden","wdi_co2","wdi_death","wdi_debt","wdi_emp","wdi_empagr","wdi_empagrf","wdi_empagrm","wdi_empind","wdi_empindf","wdi_empindm","wdi_empser","wdi_empserf","wdi_empserm","wdi_expedu","wdi_expedut","wdi_expmil","wdi_fdiin","wdi_fdiout","wdi_fertility","wdi_firftopm","wdi_firgifttax","wdi_forest","wdi_gdpagr","wdi_gdpcapcon2015","wdi_gdpind","wdi_gini","wdi_homicides","wdi_infpay","wdi_internet","wdi_lfpf","wdi_lifexp","wdi_lifexpf","wdi_lifexpm","wdi_litrad","wdi_litradf","wdi_litradm","wdi_litry","wdi_migration","wdi_nerp","wdi_ners","wdi_pop","wdi_pop14","wdi_pop1564","wdi_pop65","wdi_popden","wdi_poprul","wdi_popurb","wdi_refasy","wdi_refori","wdi_semp","wdi_smokf","wdi_smokm","wdi_taxrev","wdi_tele","wdi_trade","wdi_unempfilo","wdi_unempilo","wdi_unempmilo","wdi_unempyfilo","wdi_unempyilo","wdi_unempymilo","wdi_wip","fhp_score5","fhp_status5","gd_ptsa","wdi_gdpcappppcon2017"
"1","Non-democracy",221,NA,NA,3.663,"South Asia","No","Yes","Yes","Yes",0.4101,0.1508,0.397,0.034,1.312,97.7,97.1,99.5,1.81204522469526,84.5992570171333,12.0034343713107,652230,35.842,NA,0.0664243,0.220291007823114,0.140630315688525,7.344,NA,1.59642292353191,46.5878230132384,53.1999677701088,45.2434809941527,18.6353431394595,27.1031802557384,16.9137333937708,34.7768338473021,19.6968519741528,37.8427709853869,NA,NA,1.827933856217,0.144401085222495,0.215827015949845,4.643,NA,NA,1.85278199408184,33.5976188725451,407.616505242601,14.2736570191788,NA,4.02249785795131,NA,18.4,17.927683786822,61.982,65.279,58.915,37,23,52,56,-183672,NA,50.1407,40099462,43.424542703341,54.1713988581692,2.40405843848977,61.4805544056544,73.686,26.314,66949,2712869,82.2807934526421,7.2,39.4,NA,0.364,51.4117163747271,16.871,11.934,10.856,21.413,16.385,15.008,27.0161290322581,60,"Partly Free",5,2079.921875
"2","Democracy",24,2.9440339152707,"Proportional",1.796,"Eastern Europe & post-Soviet (incl. Central Asia)",NA,NA,NA,NA,0.3204,0.0827,0.609,0.439,2.123,100,100,100,0.58835815714458,48.1832229557306,21.8941605839416,27400,10.24,36.1,19.6304,1.73709014211885,1.55004186130216,11.325,82.1135986168626,3.05381900577884,35.640847997783,40.8522571995062,31.4727313002161,21.1775301779296,16.6792306098006,24.7752974640557,43.1816218242874,42.4685121906931,43.7519712357283,3.02255988121033,NA,1.22084466120546,6.7961408036867,0.27852758401745,1.39,18.1,34.6,28.7919708029197,18.3581252459328,4857.11194201819,20.7469849089846,29.4,2.31196864129807,31.6,79.3237,44.3102848383972,76.463,79.173,74.087,98.5,98.3000030517578,98.6999969482422,99.5,-10612,94.52966,86.60827,2811666,16.2817238878905,67.4840351559353,16.2342409561742,102.615547445255,37.031,62.969,109,19847,53.4237788228774,6,38.8,18.1985959060486,6.94,76.0179821075752,12.216,12.473,12.677,28.41,29.43,30.116,35.7142857142857,51,"Partly Free",2,13655.6650390625
"3","Non-democracy",59,NA,NA,2.174,"North Africa & Middle East (incl. Israel, Turkey, Cyprus)","Yes","Yes","Yes","Yes",0.5013,0.2327,0.693,0.137,2.786,99.8,99.3,100,2.74380149151702,58.4637314615723,3.16180474703169,2381741,21.524,NA,9.33184,0.607125492509303,4.0471846951588,4.546,NA,3.98437776081365,10.0330984152051,3.67840405353997,11.3908375236378,30.94291440086,24.0333586050038,32.4192024667053,59.0239871839349,72.2881833805941,56.1899484804108,5.51403284072876,NA,5.58544666775166,0.466642750804028,-0.0277990999636716,2.889,NA,NA,0.822227647758509,11.2334026305213,4515.57399918347,36.3169164014046,NA,1.57318234314011,NA,66.2356,19.7283279065188,76.377,77.959,74.879,81.4078369140625,74.2101974487305,87.4229583740234,74.0299987792969,-18797,97.63517,NA,44177969,30.7120765410478,63.1059234876316,6.18199997132055,18.5486033116111,25.739,74.261,97890,6003,31.1954415724911,0.7,41.3,NA,11.4,47.2709030076405,22.832,13.607,11.34,50.135,33.7,30.104,8.10810810810811,65,"Not Free",4,11627.2802734375
"4","Democracy",27,4.01704835321103,"Mixed",NA,"Western Europe & North America (incl. Australia & New Zealand)","No","Yes","Yes","No",0.3557,0.1141,NA,NA,NA,100,100,100,NA,38.1405998741523,1.59063829787234,470,6.2,NA,50.2769,NA,NA,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.58397221565247,5.64106,NA,NA,NA,NA,NA,NA,34.0425531914894,0.533617929562433,36616.1007608814,12.3657061543935,NA,2.57400257400257,NA,93.8975,NA,NA,NA,NA,NA,NA,NA,NA,1377,NA,NA,79034,13.0747526381051,72.3897310018473,14.5355163600476,168.157446808511,12.142,87.858,NA,5,NA,28.3,35.3,NA,63.5,NA,NA,NA,NA,NA,NA,NA,46.4285714285714,15,"Free",1,49609.9202257061
"5","Non-democracy",46,NA,NA,2.01,"Sub-Saharan Africa",NA,NA,NA,NA,0.58,0.2596,0.51,0.169,1.305,48.2,7.3,75,0.852243549354007,91.4739484069112,4.30977781342745,1246700,38.809,NA,0.390925,1.25203659774529,0.624876571473022,8.009,NA,4.5978794714612,56.7075062685015,61.2708418916079,52.1159736685283,5.7175689214527,1.10851307485787,10.3551146414588,37.5749248100458,37.6206614260793,37.5289116900129,2.2971088886261,NA,1.28992265308256,-6.54854227564072,-1.58990831014936,5.304,NA,NA,52.9817223871019,11.4863453766476,2387.42990701717,47.5244095549704,51.3,NA,NA,37.8067,50.1420640391627,61.643,64.307,59.029,72.4000015258789,62.5,82.8000030517578,83.3000030517578,29089,NA,NA,34503774,45.1791048303746,52.2264253212768,2.59446984834862,27.6760840619235,32.54,67.46,26045,11403,65.1163666385655,NA,NA,10.090385804431,0.348,74.4644985945172,15.781,15.799,15.817,27.514,29.997,32.405,29.5454545454545,73,"Not Free",3,6602.423828125
"6","Democracy",17,2.03328073913821,"Majoritarian",NA,"Caribbean (incl. Belize, Guyana, Suriname)","Unclear","Yes","Yes","No",0.4852,0.2118,NA,NA,NA,100,100,100,NA,40.8716546023303,9.09090909090909,440,12.115,NA,8.66279,3.95931875538362,2.86636844420129,6.365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5746488571167,NA,NA,18.1006036013337,-0.964975937099101,1.58,NA,NA,18.3029545454545,2.08201790600159,15921.095120946,20.4929123040736,NA,17.1637908377539,NA,87.074,NA,78.497,80.941,75.775,NA,NA,NA,NA,0,95.69547,88.78981,93219,18.8211693905245,70.9862206941681,10.1926099153074,211.861363636364,75.62,24.38,NA,105,NA,NA,NA,NA,29.2,101.122883462968,NA,NA,NA,NA,NA,NA,11.1111111111111,34,"Partly Free",1.77415079365079,23035.658203125
"7","Democracy",38,2.5841061296522,"Proportional",1.961,"Latin America (incl. Cuba, Haiti, Dominican Rep.)","No","Unclear","Unclear","No",0.4394,0.1297,0.471,0.656,3.023,100,100,100,0.53074751768613,54.2701483886344,15.4232886077707,2736690,13.902,NA,23.15,0.197932871103439,3.96105573461767,8.955,NA,3.56995162545107,7.33360756511422,3.36149301955729,10.2114954677996,20.1055159352886,8.94969483988402,28.1881636552289,72.5608764995971,87.6887996886015,61.6003408769715,4.64117002487183,NA,0.630928835372215,1.36462688641751,0.316428284218765,1.885,NA,NA,10.4007639520735,7.30630885522762,12444.3182669731,23.9172428049615,42.4,4.62267855620475,NA,87.1507,42.5339108158108,75.39,78.647,72.182,NA,NA,NA,NA,2344,NA,NA,45808747,23.3567371619625,64.8213554497471,11.8219073882904,16.7387416916056,7.771,92.229,4050,124,27.5889360816568,19.6,29.4,8.79392955783953,16.8,32.9300242545298,9.849,8.736,7.912,26.671,23.356,20.984,44.7470817120623,46,"Partly Free",1,22071.748046875
"8","Democracy",3,1.94439043359907,"Proportional",2.069,"Eastern Europe & post-Soviet (incl. Central Asia)","No","Yes","Yes","No",0.396,0.15,0.315,0.541,2.244,100,100,99.9,3.38534763918821,49.6288194974977,15.5749912188268,28470,12.049,1.4,16.2566,3.62843885453273,2.4822158859237,13.007,60.080359768226,0.819849319384674,53.1009177239171,65.3028632825516,38.5769570116971,13.8901363623673,4.7630860100311,24.753959448953,33.0089459137156,29.9340507074174,36.6689088256619,2.76784992218018,NA,4.47078156298276,2.64030281211345,0.177202269747598,1.575,19.1,0.1,11.5300316122234,11.3435484176857,4526.59748878641,26.3643404113901,27.9,2.18561731238222,1.1,78.6123,52.755634771885,72.043,77.35,66.554,100,100,100,100,-12825,90.72273,NA,2790974,20.4225514860675,66.8320390716716,12.7454094422609,98.0321039690903,36.569,63.431,34728,12255,62.7317143210398,1.5,49.4,22.0010047423132,14.6,79.6698888228399,7.304,10.012,13.036,19.505,22.362,24.974,33.6448598130841,63,"Not Free",1,14317.552734375
"9","Democracy",120,3.35103798401555,"Majoritarian",1.549,"Western Europe & North America (incl. Australia & New Zealand)","Yes","Yes","Yes","No",0.3291,0.0991,0.031,0.781,3.708,100,100,100,0.441598554382972,53.7101418521078,4.0646020161154,7692020,12.1,NA,35.836,17.9909964237729,15.1084047240511,6.7,69.9077170244066,4.89005504282908,2.49483264299078,1.79249863557819,3.12324063573893,18.9120576504873,8.03164273181675,28.6472230280501,78.593109706522,90.1758746516459,68.229536336211,5.33320999145508,NA,1.98912270035816,1.78341600361351,0.444348398476808,1.7,NA,NA,17.4213145571644,2.30025262087576,59225.5245403582,25.4175760363943,34.3,0.744567483256587,NA,94.9886,47.1699615129658,83.3,85.4,81.3,NA,NA,NA,NA,117929,NA,NA,25685412,18.3733291452377,65.057515523364,16.5691553313983,3.33922844714392,13.638,86.362,55606,16,13.4807274452545,11.5,15.6,23.0272760652611,25.9,39.7023602363157,5.012,5.116,5.209,9.797,11.228,12.608,31.1258278145695,22,"Free",2,49379.09375
"10","Democracy",75,4.19771224682548,"Proportional",1.338,"Western Europe & North America (incl. Australia & New Zealand)","No","Yes","Yes","No",0.3415,0.1069,0.123,0.783,2.969,100,100,100,0.495545156767865,51.1182513489329,15.9932792050412,82520,9.6,1.3,29.2537,0.954550278915306,7.31972821626037,10.3,94.6386773592887,4.76442780290919,3.7348243579283,3.39808971990129,4.03294045561733,25.6264283041388,12.3093021974996,37.4163705520784,70.6387473379329,84.2926080825991,58.5506889923043,5.49411010742188,NA,0.873694846766333,3.70886934393561,6.02001426109014,1.48,18.8,1.5,47.2944740668929,1.21862913223431,44984.4197366909,26.0704865756319,30.7,0.728529506902089,2,92.5292,46.9295765756178,81.190243902439,83.7,78.8,NA,NA,NA,NA,20314,NA,NA,8955797,14.3854932066305,66.1733494491532,19.4411573442163,108.528805138148,41.005,58.995,152514,23,12.8207669270848,25,27.7,25.8506768631894,42.5,110.984958052906,6.403,6.459,6.508,12.359,12.042,11.776,40.4371584699454,22,"Free",2,55806.4375
"11","Non-democracy",30,NA,NA,2.428,"Eastern Europe & post-Soviet (incl. Central Asia)","Yes","Yes","Yes","Yes",0.3822,0.1399,0.914,0.066,0.728,100,100,100,1.58748289099994,44.1785240948905,25.275257108288,82650,11.1,12.1,20.0857,1.64007471072208,3.66818080935119,7.6,16.8684980773192,13.826358953523,36.282809746308,41.8646870987125,30.8207303998723,14.7867532966284,6.42007809218736,22.9738360820274,48.9304369570636,51.7151946175472,46.2054335181003,3.7020800113678,NA,5.27005900628497,-3.11473447263613,0.140422109970473,1.52,16.5,9.7,13.8329909255898,5.72598365721349,5345.43986445831,48.8181736249399,NA,1.91021189583004,5.8,86,49.9471517320039,69.366,73.287,65.646,100,100,100,100,1084,92.42467,88.53256,10137750,23.9249531076917,69.3584606678644,6.71658622444389,122.658802177858,43.224,56.776,1676,39478,67.5970919621066,0.1,47.9,13.4213202980155,16.1,76.286865687015,6.961,6.04,5.121,16.372,14.463,12.738,18.1818181818182,90,"Not Free",3,14442.041015625
"12","Democracy",48,2.18381617508965,"Majoritarian",NA,"Caribbean (incl. Belize, Guyana, Suriname)",NA,NA,NA,NA,0.5299,0.1892,NA,NA,NA,100,100,100,0.903277089279908,39.2573297464119,0.799200799200799,10010,11.445,NA,20.7423,NA,3.41181546728903,8.986,87.3903316559467,0.933264021029092,3.12150577711517,1.19605575506726,4.92433592192454,11.8283735802421,3.37208594558403,19.7419636584579,85.0501206426428,95.4318582993487,75.3346497806976,3.00693249702454,NA,NA,3.36940934585663,0.744780083385376,1.389,NA,NA,50.9350649350649,0.481137137278013,26743.8740303048,11.2165644873295,NA,29.1734237464315,NA,93.7667,48.2511599670439,71.598,75.096,68.121,NA,NA,NA,NA,485,74.22717,62.4958,407906,19.6225596369747,71.8096470873768,8.5677932756484,40.7498501498501,16.635,83.365,10,736,16.696255173902,2.4,18.8,14.1763815936458,21.6,72.9516487962776,11.527,11.694,11.849,31.214,27.599,25.266,17.9487179487179,23,"Free",2,35161.83203125
"13","Non-democracy",50,NA,NA,2.12,"North Africa & Middle East (incl. Israel, Turkey, Cyprus)","Unclear","Unclear","No","Unclear",0.577,0.255,0.706,0.054,0.879,100,100,100,2.26127214410254,31.3471460732251,2.65822784810127,790,11.926,NA,16.5058,4.99351910696525,25.8482913211209,2.479,115.517115830258,1.63721913979595,0.925946231764342,0.04055126208457,1.15749884342334,34.9958941594723,10.0808086744439,41.5116495319131,64.0781596087634,89.878052364021,57.3308516246636,2.22135806083679,NA,3.55388299692097,4.52867279425205,0.16381746131674,1.811,NA,NA,0.911392405063291,0.279204524069659,23359.6882052648,44.9682498744292,NA,0.0683402977791795,NA,100,21.3971274418783,78.76,80.018,77.757,98,96,99,99,-9150,96.71489,90.19346,1463265,20.3771974395624,76.1340986991083,3.48870386132933,1852.23417721519,10.378,89.622,256,416,2.6980367503186,4.5,25.3,2.92231784869143,17.5,159.87298054363,4.617,1.551,0.716,14.383,6.657,3.312,15,87,"Not Free",2,49768.9765625
"14","Non-democracy",7,2.83,"Majoritarian",2.069,"South Asia","Yes","Yes","Yes","Yes",0.424,0.1616,0.907,0.094,2.26,99,98.5,99.7,0.319983161273783,47.6670723677358,62.303142045018,130170,17.821,23,6.64247,0.0410423181626196,0.621865442687439,5.68,NA,3.22086413174859,37.5456403795825,56.3009633171748,28.7468972709195,21.7948920992104,17.8162072910214,23.6614226064836,40.6594675212071,25.8828293918038,47.5916780054698,1.83117997646332,NA,1.19664698573287,0.414118154944474,0.0199831998934243,1.981,3.6,19.3,14.4687716063609,11.6328584271282,1685.02093460066,33.3160943869001,33.4,2.33987499251454,30.7,38.9174,32.7777073947751,72.381,74.267,70.599,76,74,79,95,-174500,NA,66.54968,169356251,26.4529837165562,67.7199042390233,5.82711204442049,1301.03903357148,61.054,38.946,918907,22672,58.5354181325073,17.1,52.2,7.64236301017901,0.174,27.7240047036631,8.261,5.815,4.622,20.957,16.622,14.504,20.8571428571429,62,"Not Free",4,5467.2080078125
"15","Democracy",55,1.72389123625412,"Majoritarian",NA,"Caribbean (incl. Belize, Guyana, Suriname)","No","Yes","Yes","No",0.4852,0.2118,0.067,0.671,3.58,100,100,100,0.708436056561535,48.9817110644881,16.2790697674419,430,10.832,0,36.3513,5.27157903659906,2.31685633001422,9.007,NA,0.503594892773026,2.80076236519152,1.15481171548117,4.50842962682326,16.7023056898475,8.86420692278433,24.8358274925807,80.4969319449609,89.9809813617345,70.654164298794,4.863609790802,NA,NA,4.82753763389546,0.357197454702225,1.633,16.9,0,14.6511627906977,1.90840713440463,14957.2347192467,12.6264206487161,NA,11.3798210878753,3,74.8596,50.1777861936923,77.571,79.359,75.629,NA,NA,NA,NA,-28,96.69287,93.63078,281200,17.162192678152,67.1222743994922,15.7155329223558,653.953488372093,68.754,31.246,5,265,20.3800979298376,1.9,15,NA,42.9,69.8688030759052,8.091,9.417,10.752,22.969,27.795,32.015,20,19,"Free",1.61019841269841,15954.802734375
"16","Non-democracy",27,NA,NA,2.253,"Eastern Europe & post-Soviet (incl. Central Asia)","Yes","Yes","Yes","Yes",0.3277,0.0961,0.374,0.036,0.754,100,100,100,3.13206697389997,50.7602118548547,27.7112589307711,202950,9.283,4.9,35.0098,1.31708362970551,6.41149744936488,16.544,38.5890332685462,0.740739546495534,10.9072064308671,7.85451561029119,14.0566698644445,30.4510337222303,18.6081703408436,42.6693706519331,58.6417598469025,73.5373140488652,43.2739594836223,4.60641002655029,NA,1.11835004010897,1.76640687852003,-0.113650212181253,1.483,21.1,3.7,43.2722345405272,6.70684479220258,6457.75126990834,32.1445734089406,24.4,2.32582876256296,5.1,86.8884,50.3475769318432,72.3706829268293,77.697,67.298,100,100,100,100,12961,94.92861,95.63948,9302585,16.8403350640924,66.330495890785,16.8291690451227,45.8368317319537,20.09,79.91,2729,4632,4.67341439093539,13.5,47.4,12.8250049647951,46.8,136.014450556595,3.072,3.9,4.74,9.582,10.486,11.343,40,83,"Not Free",4,19279.208984375
"17","Democracy",127,10.8544421478857,"Proportional",1.56,"Western Europe & North America (incl. Australia & New Zealand)","No","Yes","Yes","No",0.2961,0.0749,0.031,0.826,3.942,100,100,100,0.464469262585375,56.5072191218183,28.5878467635403,30280,10.2,4.3,43.0218,4.97374480512187,8.3917800451313,9.7,108.010287582684,3.49017115007451,0.935983610522019,0.555489299447137,1.27347549169742,19.3705844650885,8.23736124069323,29.2455611472163,79.6934116864685,91.2071494598596,69.4809633610863,6.35551977157593,NA,1.05034404939086,4.91189848179391,9.25194860871133,1.6,17.9,0.2,22.7642007926024,0.641438472373013,43273.6357003252,19.3297972763911,26.6,1.07652643158746,0.9,92.7887,46.803437581753,81.790243902439,84.3,79.4,NA,NA,NA,NA,52356,NA,NA,11586195,16.6881103554996,63.8948192337724,19.417070410728,382.635237780713,1.883,98.117,74063,29,14.139506870673,21,25.8,22.2891257982306,28.6,174.038993727527,5.863,6.264,6.617,16.198,18.228,19.946,42,12,"Free",1,51977.18359375
"18","Democracy",40,1.97622209574401,"Majoritarian",NA,"Caribbean (incl. Belize, Guyana, Suriname)","No","Yes","Yes","No",0.5299,0.1892,NA,NA,NA,97.7,97.1,98.4,1.15861429730043,49.6819505040149,4.38404208680403,22810,17.976,NA,9.10595,3.7492422938478,0.633200926928163,6.353,NA,7.24275912243951,17.2225636908719,4.77954294452468,24.5044041914382,19.247751533473,12.7686687622122,23.0389915097528,63.5290575883393,82.4534873842494,52.456604298809,5.94879007339478,NA,1.00947819584936,5.17597863176034,0.0633997394770061,2.01,NA,NA,55.4971503726436,7.90331761704382,5768.90838784117,17.2292950839483,NA,31.2475783126808,NA,65.0198,39.1278624233682,70.47,74.332,67.119,NA,NA,NA,NA,577,95.94237,71.149,400031,28.2356867342781,66.8084473453307,4.95586592039117,17.537527400263,53.799,46.201,86,81,32.7140903902359,1.8,15.1,NA,4.81,99.1470033287338,15.238,10.157,6.891,29.439,19.863,14.024,12.5,27,"Free",2.17546031746032,9028.5517578125
"19","Non-democracy",2,1.96971368241912,"Proportional",2.206,"Sub-Saharan Africa","Yes","Yes","No","Yes",0.4367,0.1284,0.192,0.275,2.017,42,18,67,0.266897503351788,84.0074855144422,24.8315005321036,112760,36.608,NA,0.154167,0.847344604644723,0.713701234025511,9.434,NA,1.01058565251473,29.0592939876807,14.6057058876613,40.8982967622766,22.2260524533784,25.7144755488166,19.3686684999917,48.7146535589409,59.6798681471682,39.7329941235313,3.20348429679871,NA,0.550883648806243,1.95608661099464,0.242554559941211,4.973,NA,NA,27.3603228095069,28.5289506098592,1214.07758986371,16.4674003775761,34.4,NA,NA,30.7419,45.1506418205297,59.821,61.445,58.221,43.834171295166,33.1344985961914,56.4600715637207,65.3227005004883,1732,97.21103,NA,12996895,42.5780042079281,54.3456110093988,3.07638478267309,115.261573252927,51.028,48.972,1736,730,78.8041358458955,1.9,11.8,NA,0.0857,48.0548608324409,1.957,1.694,1.477,4.902,4.207,3.476,8.43373493975904,37,"Partly Free",3,3156.43896484375
"20","Non-democracy",114,3.5470803981243,"Majoritarian",1.5,"South Asia","No","Unclear","Unclear","No",0.4214,0.14,0.117,0.483,3.52,100,100,100,NA,40.7239950044345,2.46460409019402,38140,12.482,NA,0.364566,0.0814494379988778,2.18280457783163,6.477,111.007897266318,0.591985774103092,49.8590329125852,59.0520932305779,42.8700099433275,15.6087169081979,11.9417954041595,18.3964935279194,34.5322501792169,29.0061113652626,38.7334965287532,6.59838628768921,NA,NA,0.244983589293264,NA,1.413,NA,NA,71.5013109596224,15.7947790369422,3191.30882868504,31.6232759063264,28.5,2.45952782243763,NA,85.6369,43.8360458863163,71.815,73.773,70.141,72.0999984741211,63.9000015258789,79.1999969482422,98,291,88.02597,70.19893,777486,22.8027110438574,71.0610409312573,6.13624802488532,20.3850550603041,56.992,43.008,NA,6702,71.5758169884972,NA,NA,12.2846378373934,2.54,77.5824514467004,6.209,4.804,3.707,23.927,20.619,17.194,17.0212765957447,58,"Partly Free",2.26616666666667,11797.2841796875
"21","Democracy",39,2.46047250914066,"Mixed",2.048,"Latin America (incl. Cuba, Haiti, Dominican Rep.)","No","Unclear","Unclear","No",0.5299,0.1892,0.574,0.358,3.185,98.6,95.1,100,1.24444076759911,56.3285138566426,4.49401569279055,1083300,21.836,NA,9.44574,0.419951502120037,1.81024468619158,9.945,NA,3.24689191089537,27.6474096219251,27.7382771248228,27.5811056161093,20.4315982300503,12.3385341913978,26.3369279461223,51.9209921480246,59.9231445900273,46.0819986120035,7.96215009689331,NA,1.41111958813376,1.44427761116124,0.226029493812827,2.618,NA,NA,46.7283054555525,12.9229233056108,3061.89929518248,26.3623003775663,40.9,3.49353018078936,NA,65.9774,42.4610346334294,63.63,66.8,60.879,94,91,97,99.5199966430664,-4666,92.85137,76.55438,12079472,31.1219852986952,63.9678580322054,4.91015666909944,11.1506249423059,29.525,70.475,1116,549,69.3361684175438,4.8,20.5,NA,4.61,59.0213965632554,5.704,5.089,4.635,8.907,8.449,8.098,46.1538461538462,53,"Partly Free",3,8528.7490234375
"22","Democracy",29,10.6768458291222,"Proportional",1.928,"Eastern Europe & post-Soviet (incl. Central Asia)","No","Unclear","Unclear","Unclear",0.3425,0.0944,0.754,0.34,2.399,100,100,100,0.832549979488996,49.3931226812491,19.6875,51200,8.42,16,24.5891,1.35237158293244,6.660831448301,15.712,45.3808625595589,5.89878911704017,13.8254536895056,16.0159441996363,12.4211977251032,34.6258675623752,18.5625510719418,44.923375773433,51.5486787481192,65.4212879774752,42.6554265014638,4.13622999191284,NA,0.929365426321555,3.10277232367734,0.358780306429779,1.35,16.6,14.4,42.7326171875,5.01931788098706,5947.72570281522,24.7993816070925,NA,0.978311147580377,10.6,75.6762,40.6140543656441,75.3,77.53,73.108,98.3000030517578,97.0999984741211,99.4000015258789,99.6999969482422,-25865,NA,NA,3270943,14.9193061450475,66.9374703258357,18.1432235291168,63.88560546875,50.575,49.425,240,18189,24.8884245143471,28,42,19.0981491977883,21.2,96.4859085777747,18.139,14.897,12.68,40.938,35.327,31.975,26.1904761904762,51,"Partly Free",2,14634.73828125
"23","Democracy",55,2.43669467241077,"Majoritarian",1.899,"Sub-Saharan Africa","No","Yes","Yes","No",0.5926,0.2274,0.161,0.482,3.176,73.7,25,93.1,0.849701094037364,57.4982917148627,0.458772254865633,566730,23.576,6.1,5.54838,8.3421511067193,2.60540877592264,9.461,19.6160814562101,2.29337241978098,17.5934527088215,10.4702834947668,23.5302424401923,15.9516118491686,8.77645168163766,21.9317333264866,66.4549354420098,80.7532648235956,54.5380242333211,8.05833625793457,NA,3.04556932426419,-1.70154533730106,-0.175565194143178,2.791,23,1.8,26.7083090713391,1.78852001880452,6398.01384782456,33.0385350292725,NA,10.5469623782512,8.6,75.2388,47.3343424980686,61.141,63.594,58.691,NA,NA,NA,NA,1816,NA,NA,2588423,32.9147708855933,63.4927521506338,3.59247696377292,4.5672948317541,28.44,71.56,688,122,31.1228562359377,8.3,30.4,22.2295140207709,3.91,88.7551314233315,26.159,23.106,20.362,50.675,44.484,39.007,10.7692307692308,45,"Partly Free",1,15117.9951171875
"24","Democracy",36,17.9475214472881,"Proportional",2.558,"Latin America (incl. Cuba, Haiti, Dominican Rep.)","No","Unclear","Unclear","Yes",0.5929,0.218,0.543,0.528,2.944,99.5,97.3,99.8,0.748851220951796,43.1060097297109,6.96958414192631,8358140,12.883,NA,19.8363,4.97960000667969,2.34940313393196,8.326,85.0115036701985,4.13743464588058,9.49560849139376,4.58911004042238,12.9783338978492,20.7334770601716,10.9325192237064,27.6903803990289,69.7709155343129,84.4783681201963,59.3312949863955,5.4969801902771,NA,1.16368211072875,2.77979084916568,0.972038152947978,1.641,NA,NA,59.2705274977447,6.55876261159667,8603.1522144281,22.1234751937997,52.9,22.384065397269,NA,80.6899,43.1404992406634,72.75,76.009,69.56,94.6900024414062,94.9199981689453,94.4499969482422,99.2799987792969,20376,NA,NA,214326223,20.5406675785072,69.8782675323868,9.58106488910599,25.6428132335663,12.683,87.317,61956,1954,33.5172416384233,9.4,16.2,14.1366751318622,13.8,37.6563307568833,16.436,13.159,10.673,33.506,28.263,24.193,15.2046783625731,47,"Partly Free",5,14685.1279296875
"25","Non-democracy",36,NA,NA,NA,"South-East Asia",NA,NA,NA,NA,0.3664,0.1314,NA,NA,NA,100,100,100,3.67959892371732,39.1925467779691,0.759013282732448,5270,13.8,NA,17.581,0.995034275152168,22.0314208539808,5.211,NA,2.53226745017982,1.40660326061034,0.303252117536338,2.17498604222127,23.5674015282322,9.39152055956406,33.4396012525589,75.0264721875089,90.3052273228996,64.3854127052198,NA,NA,3.23636748209722,1.46181722244564,NA,1.778,NA,NA,72.1062618595825,1.25629022275081,29673.1658770638,62.7015642235623,NA,NA,NA,95.6225,41.7003056994349,74.642,76.881,72.602,97.5899963378906,96.8600006103516,98.2600021362305,99.7699966430664,-192,93.14673,82.64549,445373,22.3464377050248,71.8429271644217,5.81063513055349,84.5110056925996,21.446,78.554,NA,NA,7.92925486754367,2.3,30,NA,24.9,147.123112375318,6.386,4.905,3.845,23.142,16.452,11.981,9.09090909090909,76,"Not Free",1,61424.36328125
"26","Democracy",31,4.9064598155544,"Proportional",1.56,"Eastern Europe & post-Soviet (incl. Central Asia)",NA,NA,NA,NA,0.4421,0.1872,0.537,0.555,2.48,99.8,99.5,99.9,1.11719900696106,57.2718552166571,32.244615880619,108560,8.5,10,32.7688,9.04244189835485,6.65876872689195,21.7,32.8959215593774,3.68366403270555,6.29186496377912,4.09213993842084,8.18411744057316,30.831838242457,22.6063440201674,37.9075872538695,62.8762967937639,73.3015160414118,53.908235301177,4.73032999038696,NA,1.51713160983634,2.97392384442079,1.10507318072863,1.58,28.8,9.4,35.9801031687546,4.36804897519465,8638.7183764058,20.8511415758781,39,1.27797986237754,13.4,75.2714,46.1272210700662,71.4634146341463,75.1,68,98.4199981689453,98.1699981689453,98.6900024414062,98.0599975585938,-8716,NA,NA,6877743,13.9947290591926,63.5841598752808,22.4211110655266,63.3543017686072,23.975,76.025,22830,455,10.9988332811315,37.1,40.9,20.6743441728497,11.5,120.974653390581,5.026,5.267,5.473,15.329,15.84,16.146,23.75,42,"Partly Free",1,23270.224609375
